Numéro du tour; Age; Poisson; Requin
160;34;0;9;
160;37;0;2;
160;43;0;2;
160;42;0;1;
160;86;0;1;
160;67;0;2;
160;66;0;2;
160;68;0;1;
160;22;0;4;
160;23;0;15;
160;24;0;20;
160;25;0;13;
160;26;0;10;
160;27;0;2;
160;28;0;1;
160;3;10;78;
160;2;13;79;
160;1;26;43;
160;0;79;23;
160;7;3;5;
160;6;2;16;
160;32;0;2;
160;5;5;44;
160;31;0;1;
160;4;5;64;
160;8;1;0;
160;75;0;1;
160;58;0;1;
160;57;0;1;
160;56;0;2;
160;55;0;2;
160;17;0;6;
160;18;0;1;
160;15;0;27;
160;16;0;14;
160;13;0;27;
160;14;0;34;
160;11;2;14;
160;12;0;23;
160;21;0;2;
160;20;0;1;
160;109;3;0;
160;108;1;0;
160;106;4;0;
160;105;1;0;
160;104;4;0;
160;103;6;0;
160;102;7;0;
160;99;19;0;
160;101;13;0;
160;100;9;0;
160;98;19;0;
160;97;19;1;
160;96;33;0;
160;95;40;0;
160;45;0;6;
160;94;52;0;
160;44;0;2;
160;93;59;0;
160;47;0;2;
160;92;75;0;
160;46;0;3;
160;91;79;0;
160;90;14;0;
160;10;1;5;
160;54;0;1;
160;88;0;1;

170;116;2;0;
170;114;1;0;
170;77;0;1;
170;112;2;0;
170;113;2;0;
170;110;2;0;
170;111;2;0;
170;35;0;3;
170;36;0;4;
170;33;0;5;
170;34;0;10;
170;37;0;1;
170;43;0;3;
170;87;0;1;
170;66;0;1;
170;121;1;0;
170;22;0;5;
170;23;0;10;
170;24;0;12;
170;25;0;5;
170;26;0;6;
170;27;0;2;
170;3;3;53;
170;2;0;59;
170;1;6;32;
170;0;60;21;
170;7;0;1;
170;6;2;9;
170;32;0;1;
170;5;0;25;
170;4;0;41;
170;9;0;4;
170;76;0;1;
170;57;0;1;
170;56;0;1;
170;55;0;2;
170;17;0;1;
170;15;0;13;
170;16;0;4;
170;13;0;18;
170;14;0;23;
170;11;0;15;
170;12;0;19;
170;21;0;2;
170;20;0;1;
170;109;8;0;
170;108;6;0;
170;107;4;1;
170;106;13;0;
170;105;17;0;
170;104;22;0;
170;103;38;0;
170;102;41;0;
170;101;65;0;
170;100;12;0;
170;96;0;1;
170;45;0;2;
170;44;0;1;
170;46;0;3;
170;10;0;6;

180;114;2;0;
180;115;1;0;
180;112;8;0;
180;113;4;0;
180;110;3;0;
180;111;15;0;
180;33;0;3;
180;34;0;1;
180;22;0;3;
180;23;0;3;
180;24;0;4;
180;25;0;2;
180;3;18;13;
180;2;21;16;
180;1;28;15;
180;0;47;7;
180;6;4;2;
180;32;0;1;
180;5;11;7;
180;4;12;9;
180;9;0;2;
180;8;2;0;
180;55;0;2;
180;15;0;4;
180;16;0;2;
180;13;0;3;
180;14;0;8;
180;11;0;6;
180;12;0;10;
180;21;0;1;
180;20;0;1;
180;65;0;1;
180;45;0;1;
180;47;0;1;
180;46;0;1;
180;10;0;2;

190;35;0;1;
190;33;0;1;
190;22;0;3;
190;23;0;1;
190;24;0;4;
190;25;0;3;
190;3;56;10;
190;2;72;6;
190;1;97;5;
190;0;128;4;
190;7;19;0;
190;6;29;0;
190;5;27;0;
190;4;43;6;
190;9;13;0;
190;8;11;1;
190;19;0;1;
190;15;3;2;
190;16;1;0;
190;13;4;3;
190;14;2;3;
190;11;5;4;
190;12;6;1;
190;10;8;0;

200;35;0;3;
200;33;0;1;
200;34;0;4;
200;43;0;1;
200;22;4;1;
200;23;1;3;
200;24;1;3;
200;25;3;2;
200;26;1;0;
200;29;0;1;
200;3;30;13;
200;2;35;15;
200;1;58;10;
200;0;93;7;
200;7;172;1;
200;6;235;0;
200;32;0;3;
200;5;310;0;
200;4;31;6;
200;9;101;0;
200;8;136;1;
200;19;10;0;
200;17;12;0;
200;18;5;1;
200;15;16;0;
200;16;15;0;
200;13;32;10;
200;14;22;6;
200;11;48;4;
